City,Populationclass,lon,lat
Addis Ababa,70,38.7612525,9.0107934
Dire Dawa,40,42,9.5
Mekelle,40,39.36667,11.76667
Adama,40,39.2705461,8.5410261
Awassa,40,38.4807155,7.0578335
Bahir Dar,40,37.3829247,11.5838108
Gonder,40,37.4667656,12.6103675
Dessie,40,39.6349823,11.1226044
Jimma,40,36.8392841,7.6741372
Jijiga,40,42.7981633,9.3513554
Shashamane,40,38.5972393,7.2004529
Bishoftu,40,37.25,9.1
Sodo,30,37.7627618,6.8641634
Arba Minch,30,40,8.25
Harar,40,42.1298392,9.3139294
Dilla,30,38.31,6.41
Nekemte,30,36.5461724,9.0885095
Debre Birhan,30,38.9817338,8.7500038
Debre Mark'os,30,38.9817338,8.7500038
Kombolcha,30,36.75,9.9
Debre Tabor,30,38.9817338,8.7500038
Adigrat,30,39.46537,14.27938
Areka,20,37.7099731,7.0684
Weldiya,30,38.71667,9.81667
Sebeta,30,38.61667,8.91667
ShireÂ (Inda Selassie),30,38.2825206,14.1024314
Ambo,30,37.8554406,8.982104
Arsi Negele,30,38.6786789,7.3539553
Aksum,30,38.72944,14.11972
Gambela,30,34.5875721,8.2467502
Bale Robe,30,39.68333,12.28333
Butajira,20,38.37771,8.1206166
Boditi,20,37.8567233,6.950493
Adwa,30,38.9003777,14.1626142
Yirgalem,20,38.405763,6.7469355
Welkite,20,37.7818444,8.2860868
Gode,30,43.5522312,5.9526975
Meki,20,38.8210866,8.1518433
Negele Borana,20,39.25,7.68333
Alaba Kulito,20,38.088051,7.3105446
Alamata,20,39.5580811,12.4156818
Chiro,20,40.8675244,9.0870642
Tepi,20,35.4224339,7.1979124
Durame,20,37.9044451,7.2438286
Goba,20,42.34305,9.44778
Gimbi,20,39.73333,8.01667
Wukro,20,39.6029685,13.7868537
Haramaya,20,37.76667,8.16667
Mizan Teferi,20,35.5765095,6.9921336
Sawla,20,36.88333,6.3
Mojo,20,39.1231598,8.5933342
Dembi Dolo,20,36.462738,8.08089
Aleta Wendo,20,38.36667,6.56667
Metu,20,35.5810125,8.3012342
Mota,20,37.8809864,11.0814138
Fiche,20,38.8,9.81667
Bule Hora Town,20,38.36667,6.33333
Bonga,20,36.24756,7.2649795
Kobo,20,39.6288366,12.1506299
Jinka,20,36.5651822,5.7859931
Dangila,20,39.81666,11.38333
Dimtu,20,37.86667,8.58333
Agaro,20,35.8034884,7.7410083
